,CountryName,CountryCode,day_under30_smooth_retail_and_recreation_percent_change_from_baseline,day_under30_smooth_grocery_and_pharmacy_percent_change_from_baseline,day_under30_smooth_parks_percent_change_from_baseline,day_under30_smooth_transit_stations_percent_change_from_baseline,day_under30_smooth_workplaces_percent_change_from_baseline,day_under30_smooth_residential_percent_change_from_baseline,First_Inc_GovernmentResponseIndexForDisplay,First_Inc_ContainmentHealthIndexForDisplay,First_Inc_EconomicSupportIndexForDisplay,First_Case_Day
93,Saudi Arabia,SAU,14,34,15,11,19,-17,2,2,31,17
94,Senegal,SEN,20,54,51,19,28,-17,3,3,29,17
95,Singapore,SGP,49,0,51,45,50,0,27,27,46,0
96,El Salvador,SLV,-2,3,-1,-2,0,-33,-8,-8,0,33
97,Serbia,SRB,10,19,14,10,12,-21,-11,-11,24,21
98,Slovenia,SVN,8,13,15,10,11,-19,-1,-1,14,19
99,Sweden,SWE,0,0,0,33,49,0,23,23,25,0
100,Thailand,THA,37,0,36,34,52,0,16,16,46,0
101,Trinidad and Tobago,TTO,9,22,9,5,10,-27,-9,-9,6,27
102,Turkey,TUR,6,22,10,7,10,-26,-3,-3,26,26
103,Tanzania,TZA,39,-31,-31,-31,-31,-31,-3,-3,-31,31
104,Uganda,UGA,3,7,-36,3,6,-36,-4,-4,45,36
105,Uruguay,URY,1,7,-3,2,7,-29,-2,-2,3,29
106,United States,USA,35,0,0,33,35,0,13,13,41,0
107,Venezuela,VEN,1,6,2,1,3,-29,-16,-16,7,29
108,Vietnam,VNM,39,46,43,38,0,0,21,21,54,0
109,Yemen,YEM,-55,-55,-55,-55,-55,-55,-24,-24,-55,55
110,South Africa,ZAF,19,24,21,16,18,-20,-1,-1,46,20
111,Zambia,ZMB,-33,-33,-33,-33,-33,-33,-27,-27,9,33
112,Zimbabwe,ZWE,7,10,8,5,8,-35,-4,-4,18,35
113,Taiwan,TWN,0,0,0,0,0,0,1,1,66,0
