E4,response_case mean
,0.173992673992674
50.0,0.43956043956043955
150.0,0.17582417582417584
165500.0,0.8571428571428571
220507.0,0.18681318681318682
424000.0,0.16483516483516483
1800000.0,0.0
5000000.0,0.34065934065934067
6011700.0,1.0
10000000.0,0.4065934065934066
12000000.0,-0.04395604395604396
12428000.0,0.8351648351648352
14500014.0,0.3956043956043956
15009037.0,0.10989010989010989
18000000.0,0.02197802197802198
30000000.0,0.6318681318681318
47833328.0,0.8681318681318682
81874968.0,0.24175824175824176
183360000.0,0.38461538461538464
410000000.0,0.24175824175824176
517250000.0,0.3516483516483517
525000000.0,0.14285714285714285
1311754455.0,0.3516483516483517
834353051822.0,0.6043956043956044
